Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Jaice Tetlow,@JaT20651298,May 21,"So well deserved for Evie. She has worked her socks off and continued to push through all weekend. Such a proud coach of not only Evie but all of the U13s
#weareTameside #squadgoals #proudcoach #blueandyellow",,2,11
Israel in Toronto,@IsraelinToronto,May 23,"We had an amazing day at 2023’s 
@UJAWalk
 with Israel! 

We joined tens of thousands of participants in celebrating the bond between #Canada and Israel. Together, we walked, laughed, and stood united for peace and #friendship. 

Thank you to 
@UJAFederation
 and the incredible…",6,9,43
International Children's Author,@birdwriter7,May 22,"If you are looking for a #childrensbook to uplift kids who are suffering from being bullied, this could be the one. 

https://amazon.com/Luna-the-Moon-Pig/dp/191604946X/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1683939817&sr=1-1……
#Recommended #childrensbooks #humor #friendship #happilyeverafter #antibully #picturebooks",1,23,22
Jenny Kane,@JennyKaneAuthor,May 23,"Time for a tiny taster of Spring Blossoms at Mill Grange

Read a mini snippet of the third #MillGrange novel over at my place today

https://jennykane.co.uk/blog/opening-lines-spring-blossoms-at-mill-grange-3/…
@AriaFiction
 @RNAtweets
 #TuesNews 
#series #romcom #friendship #Exmoor #archaeology #houserestoration #romance",,61,27
Collin Hess,@collin_hess2025,May 23,"Love this team  
Squad showed up when it mattered…ticket punched #squadgoals #AMFAM #familyWeAre #athleticsmercado #alliance 
@AMercadoAZ
 
@MercadoMo
 
@jaygehrke",1,1,12
WaCity,@Wacity,May 22,"Tripping on 
@paulinenjoroge
  who has taught us much on how to be consistent, hardworking, focused 
Go light the world, my dear friend. 
Burn  bright; burn  fiercely! #Friendship #Footprints  #Blessings",4,8,65
tawnya benavides bhattacharya,@tbhattacharya,May 21,"Friends since we were teens!  I met Sara in Vienna when I was 19 and she was 17. We’ve been friends ever since thru Seattle, Vienna, London, LA and soon Costa Rica.  #poolparty #friendship",1,,35
Md Balayet Hossain,@BalayetHos88535,May 23,"Best tee store  MUG, HOODIE, THIRST  Buy Now > https://shirtbundle.com/horse <
 
#horse #sketch #friendship #beauty #nature #holivi #furry #fantasyart #ArtLovers #imaginaryworld #nftart #NFTartwork #opensea #dark #Rescue #Filly #Support #Donate #Love #Mareandfoal #rescue #donate",,3,7
John McCaffrey,@jamccaffrey,May 21,"Perennial Man https://goodmenproject.com/featured-content/perennial-man-kpkn/… 
#Faith #family #friendship #gardening #happiness, #lifelessons #relationships #spring #success  #novanation 
@GoodMenProject",1,3,4
Diana Kelm,@Diana_Kelm,May 24,"Got to moderate the #ATS2023 Critical Care Core Curriculum with this amazing educator. 

So glad we got connected through the Education committee. 

#meded #friendsforever 
@RaniaRightHeart",,3,23
Anele Ndlovu,@ndlovu_anele,May 21,"the words of Jigga Man…I love girls, girls, girls. Girls I do adore 
@PhumeCarol
 @DineoKwili
 

#saturday #SaturdayNight #sisters #sisterlove #friends #friendship #FriendshipGoals",1,1,5
Devonshire Freemasons,@DevonMasons,May 23,"W. Bro Gerry Rooke - 60 years service to Freemasonry 
Read more  https://buff.ly/3MNt1xy 

#freemasonry #freemasons #Integrity #Friendship #Respect #charity #giving #donation #support #grant #local #devonshire #oneorganisation #RoyalArch @unitedgrandlodgeofengland",,7,40
Pippa Mann,@PippaMann,May 21,"Proud to make the finish after the adversity this 
@24hNBR
. 

Proud to call 
@beitskevisser
, 
@FWohlwend5
 and 
@celiamracing
 my team-mates.

Proud of our pace every session on track - including 6th fastest lap of all the GT4 cars in the race - including SP10! 

#SquadGoals",7,18,203
Nick Davis,@alt_world,May 23,"It is new #TshirtTuesday and the debut of my new design - Winnie the Pooh and Piglet, too - Friends Forever on 
@Teepublic
: https://teepublic.com/t-shirt/45656966-friends-forever-classic-winnie-the-pooh-and-piglet?store_id=58729… 

#winniethepooh #piglet #friendsforever",,2,4
