Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Samuel Brown (Sam),@SAMUEL_Dreama,May 29,"True, Jacob was so young when cast as Flounder now he's at that age turning into a young man, were does time go,lol Love the pic of you two #HalleBailey #JacobTremblay #TheLittleMermaid2023 #bestfriends",,,17
J and J Podcast,@TheAverageJs,May 28,"Episode 63 Clip 4

Should the Fast franchise connect with the Triple X franchise?
.
.
.
#theaveragejspodcast #podcast
#podcasts #bestfriends #television #writers #weeklywrp #wrp #movies #fast #fastx #fastandfurious #indiepodcast  #marvel #dceu  #games #twitch #retweet #repost",,,3
DOUGH ONAH,@doughonah,May 28,"Lights, camera, action! 

Here's to the magic of the silver screen and the joy of sharing it with the ones who make life a comedy worth watching! 

Happy birthday 
@OluwatobiMayowa
 More fulfilling years ahead    

#Birthday 
#FriendshipGoals #MakingMemories
#ChildrensDay",2,2,9
SHEPHARD KEMBO,@shephard_kemb,May 29,"#MondayMotivation 

What if I am not sure of my friends& colleagues true intentions,should i continue to hang around them? 

People don't normally exaggerate their actions,but what they say when you are around so always watch their actions&body language more! #action #friendship",,4,8
S❂YANA ART✤shinya,@SShinyam,May 28,"Kousa Dogwood
（Japanese Flowering Dogwood）

#ヤマボウシ 
#flowers #friendship 
#Shinyaさんの撮る写真
#soyana_art_shinya 

　　Shinya19❂86 ",1,,47
𝙲𝚑𝚛𝚒𝚜𝚝𝚒𝚗𝚊,@christina_tries,May 28,"Best Friends found the dogs! In the most adorable videos you will ever see in your entire life, 
@trentylocks
 & 
@SexyChuckieT
 play with some dogs! It’s just like their intro video come to life! 
#AEWDoNFanFest #BestFriends #Dogs",1,2,47
Jenny,@Jennster83,May 28,"I also got to get a big #BestFriends hug! Said hi to 
@Takesoup
!! Congratulated 
@willowwrestles
 on her epic win! And wished 
@thetayavalkyrie
 good luck! All in all, #AEWFanfest was fun!! Can't wait til #DoubleOrNothing tomorrow!!",1,3,47
Dimpooraj Talukdar,@Dimpooraj_India,May 28,"Ep: New Friends in Life , Thanks #anini.  
#assamese #friendship",,,2
mustLearnMore,@mustLearnMore,May 29,"""You hypocrite, first take the plank out of your own eye, and then you will see clearly to remove the speck from your brother's eye.""
— Matthew 7 : 5
#courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity",,,1
Mohsen Sangi,@mohsen_sangi,May 29,"Days and weeks pass, but #friendship and kindness remain",1,2,4
Nick Montague,@montague_nick,May 28,"Great kids Stories -The Little Scamp's  - Sleepover Adventure: Nocturnal Animals & Farmhouse Fun   https://youtu.be/ojl8WhhQADM
#littlescamps #NocturnalAnimals #animals #sleepover #friendship #quizforkids #kidsquiz #KidsStories #storytime #kidsactivities",,1,
Angry Siân,@Angry_Sian,May 28,Love of my life #BFFs,,,2
Nebheprura,@nebheprura64,May 28,"Happy Trinity, friends! May the Almighty help you in all your good undertakings! #Trinity #faith #friendship",,1,23
Tizomu SHAFIC,@shafic_tizomu,May 29,"This Monday  morning am recalling moments of my first year in medical school, these are the covid times but Alhumdilillah Allah has pulled me through. 
This was with my old friend Edward. 
#COVID19 
#friendship",1,2,9
•ĐɆ฿Ɽ₳•,@RoseVioletDeb,May 29," Friendship is born at that moment when one person says to another, 'What! You too? I thought I was the only one'. 

#Quote  CSLewis 
#Friendship 
#SoulConnections ",,6,33
Inspiration by John,@LifeWithJohn,May 29,Notice the people who make an effort to stay in your life. ~ #TrueFriends,,10,17
MuYabi KhaNom,@JasLyXMuyabi,May 28,"Hum Log 
@Jaslyxsherya
 
@MettBeauty
 

#friendshipgoals",4,2,5
kay,@bvbeez,May 28,all here for the drama #bffs,,1,6
Sathish kumar - Sathish On Wheels,@Rsathishkumar36,May 28,"Sunday Beach Walk | #MarinaBeach | #WheelchairYoutuber
Stay Connected & Watch out more Videos ! Click Subscribe to Sathish On Wheels YouTube Channel - https://youtube.com/@SathishOnWheels?sub_confirmation=1…

#BeachWalk #Nanbie #Friendship #SundayBeachWalk #SathishOnWheels #disabilityawareness #WheelchairLife",,,3
Lina Ali,@LinaAliArt,May 29,"Beautiful wedding with beautiful people!

It was a lovely event and the couple looked so sweet together. Congratulations to the beautiful couple, Pn Lela and family.

#artist #artistlife #friend #friendship #love #people #linaaliart",,,1
BARE,@BAREInc_org,May 28,"NEW EPISODE 

Jen and Jordan discuss #friendship experiences before, during and after #transplant.

Listen on all podcasts platforms or click the link below:

https://open.spotify.com/episode/0vzuDD36jsO6AwYLvpNyrE?si=RqGsSpCvTCWkSRfKPc3IEA…

What has your friendship experience been like throughout your #BA journey?",,1,4
TheEnglishCaravanCo,@TheEnglishCarav,May 29,"Morning Campers!...  

#morningcampers #haveagreatday #lotsoflove #caravanlove #friendship #love  #caravanfamily #smile #behappy",1,2,4
Rhea,@purplewhitish,May 29,"When your co-star turns as your bestest friend 
#HarshadChopda #PranaliRathod #Harshali #ShaheerSheikh #ericafernandes #sharica #yrkkh #krpkab #friendship #friendshipgoals",1,5,38
Abdul Hanan Baig,@hanan_baig,May 28,"Pics 1: True friends exist  

Pic 2: But same true بےغیرت friends be like

#dost #friendship #friends",,,2
@lvysthorns,·,May 29,i still can’t…ignore the score you know we’re #truefriends,1,,1
Petals of Support,@PetalsofSupport,May 29,"Two New Solo Episodes this week

When Times Are A’Changing (5/30)

Triggered (6/1)

Will be available everywhere 

Petals of Support 

#podcast #advice #support #life #change #selfcare #triggered #emotional #negative #love #career #relationship #family #friendship",,5,3
The Festive Farm Co.,@thefestivefarm,May 29,"Tell your elephants what they mean to you.
.
.
https://thefestivefarmco.com/products/friendship-sisterhood-elephant-ornament?utm_source=twitter&utm_medium=organic-tweet&utm_campaign=twt-el-orn-w-card&utm_content=twt-el-orn-w-card…
.
.
.
.
.
.
.
#gifts #shop #gift #shopping #giftideasforher #giftideas2023 #shopsmall #shoplocal #madeintheusa #madeinamerica #friendship #sisterhood #meaningful #spreadjoy #elephant #friendship #sisterhood",1,1,3
Inspiration by John,@LifeWithJohn,May 27,"Some talk to you in their free time, and some free their time to talk to you.~ There's a big difference! ~ #TrueFriends",2,8,16
Mythos Arts,@ArtsMythos,May 29,"The Toaster short-film is out now, watch it on my YT channel called Mythos Arts... 105 :D

#Hairstyle #Friendship #LeisureActivity #Tree #Field #Seat #Grass #Happiness #Lawn #Eyewear #Beard #rapper #music #rap #film #mythosarts #My… https://vero.co/mythosarts10/1JWL-hb8tFZ4kJdvkt2vFm9J…",,2,5
TheEnglishCaravanCo,@TheEnglishCarav,May 28,"Morning Campers!...  

#morningcampers #haveagreatday #lotsoflove #caravanlove #friendship #love  #caravanfamily #smile #behappy",2,2,7
Marié Rojas Tamayo - Writer,@MarieWriter1963,May 29,"Good morning, friends and family  Happy Monday! 

#Mondaymorning #friendship",10,7,27
Tania Crosse,@TaniaCrosse,May 28,"She sacrifices her love for duty -  but can she live with the consequences?  
#Ireland #WW2 #Plymouth #Blitz #saga #suspense #drama #heartbreak #family #friendship http://amzn.to/3fB54vd         
Bk 10 #Devon #series 
£1.99 #KindleUnlimited #paperback #Audio",,62,37
CARI,@kunichmomof4,May 29,10 years with Betty…one of my best friends no matter what our shirts say! #friendswiththeopps #truefriends,,,44
Over Our Garden Wall,@Overourwall,May 28,"The NOTHING ELSE MATTRESS Podcast team are all oot oot for the 
@LNFGlasgow
 gig this evening at Webster’s Glasgow. 
If you see any of us, come and tell the host 
@weepeople1
 how much 
@gfpaterson
 @welshjb
 @LadyHelene1967
 @Futch37742044
 
prop him up  #glasgow #Podcast #friendship",2,4,10
Robin Densmore Fuson,@RobinLFuson,May 29,"You'll love this #contemporaryromance with #mystery and #bestfriends 
A Sparkle of Silver https://amazon.com/dp/B07BD2Q7SP/ref…",,5,3
Colors Cineplex,@Colors_Cineplex,May 28,"Tag your cheerleader in the comments and thank them for being the best one ever! 
@iamsrk
 #shreyastalpade 

#ShahRukhKhan #ShreyasTalpade #OmShantiOm #BestFriends #FriendshipGoals  #BollywoodMovie #ColorsCineplex",1,25,82
"Murder, She Won’t Shut Up About",@MSWSUApod,May 29,"girls when their friends tell them there’s been a murder on a nearby yacht

#girlswhen #murdershewrote #cozymystery #friendship #PodcastRecommendations",,1,2
Deanie H. Dunne,@DeanieHDunne,May 28,https://authorsden.com/visit/viewwork.asp?id=79020&authorid=129741… #WilburtheTractor still #1 in #childrensbooks #bedtime #dreaming #friendship #changes #kindness  Wilbur's book helps children cope with changes  #kidlit #farms #Tractors,,4,4
Cy-Fair ELC 2,@CFISDELC2,May 30,"Let the Games Begin…Field Day 2023. #Friendshipgoals #Teamspirit #Fun 
@CFISDELCS",,3,10
Loona May,@LoonaMay_artist,May 29,"GM gang 

Today I am a very sad girl. At night I saw off friends who came to visit and I became lonely.

#friendship",2,,5
Wipapa,@Wipapa5,May 29,Right back atcha kid. Outstanding? That's debatable.  I'll accept human though.  True friendship is the foundation on which success is built. You are my rock.  #FriendsForever   ,2,3,7
Inspiration by John,@LifeWithJohn,May 28,"A friend is someone who helps you up when you're down, and if they can't , they lie down beside you and listen. ~ #TrueFriends",1,20,46
•| ᴛᴜʟɪᴘ |•,@p4txh,May 29,"I finish my job, DRAWS FOR EVERYONE WUAHAHAHAHA
#drawing #digitalart #digitalpainting #teamfortress2oc #friendship #MYBABYYYY",1,,4
Liselotte,@liselotteanita,May 28,"I am with you  
#tattoo #friendshiptattoo #tattooart #BestFriends",2,1,7
Destination2Future,@Dest2Future,May 29,"The Three Types of People You’ll Meet in Difficult Times 

#difficulttimes #truefriends #lifelessons #gratitude #forgiveness #strength #adversity #betrayal #abandonment #movingon",,,2
Ninja Y23,@NinjaY23,May 28,I hope you enjoyed the short! Make sure to check out the YouTube channel! #CODWarzone2 #Warzone2  #RebirthIsland #Verdansk84 #NewMapNewTactics #SquadGoals #WarzoneUpdates #BattleroyaleLife #GamingCommunity #GamingGoals #LoadoutCustomization #TacticalAdvantage  #WinningStreak.,,,
This Dog Writes,@thisdogwrites,May 29,Loss is never easy. The memories of those lost will be with us forever. #MemorialDay #DogsofTwittter #bestfriends,1,,1
Gale Riding,@RidingGale,May 27,Mylo Finds A Friend #childrensbook #kindness #friendship #authors #poets #acceptance #writers,,1,5
Anula Goenka,@anula_goenka,May 28,"Friendship aren't measured by time ,they are measured by the size of the imprint they leave in your heart .
#consciousliving #friendship #friends #jokes #love #pranks",,,2
Rod,@RodOnF1,May 28,"The 
@WonkeyDonkeyVC
 is a truly wonderful place, caring for ex-working and mistreated donkeys, miniature horses and goats. Wonderful to see them relaxed in their forever home :) #AnimalRights #donkeys #BestFriends",,,9
hey hayley,@hunnyy_hayleyy,May 29, Life is a beautiful ride with good company! #friendship,,,
Kissmyassh.tray,@Kissmyassh_tray,May 28,"best buds

shop herehttp://squilglass.shop/kissmyasshtray

#resin #resinart #BestFriends #420Life #WeedLife #WeedLovers",,2,3
Northumberland Freemasons,@ProvincialGLN,May 28,"Northumberland Masonic Golfing Society: New Committee, Exciting Events, and Opportunities Await! Read more at https://northumberlandmasons.org.uk/northumberland-masonic-golfing-society-new-committee-exciting-events-and-opportunities-await/… #freemasons #charity #integrity #friendship #respect",,3,38
