Name,Username,Date_Posted,Tweet,Reply_Count,Retweet_Count,Like_Count,Relations
Eenie Meenie Mani,@MusiKalMani,Jun 5,Get you a husband that’s cool with being your photographer  #family #weddingvibes #love #growth #mommy #thirdtrimester #9daysleft,,2.0,10,family
Dr. Eugene Farrell,@DoctorDune,12h,"I concur. I cycled for 30 years of my life (Cork, Los Angeles, Dublin, Italy, Texas) with no accident. I came to Galway 2012 and was hit by cars by cathedral twice (their fault 100%); now i can’t cycle since moving to #moycullen as roads are lethal #FamilyFirst 
@galwaygreenway",4.0,13.0,68,family
Louzival 2011 Founder Family #TeamlouziGroup,@louzival2011,Jun 4,"FOLLOW TOP FRIENDS 
Thank dear friend Mark 
@MarEthr
 
@ME_1b
      
@ME_1o
 
I FOLLOWBACK 


#TEAMSTALLION #family  
I FOLLOW AND REFER YOU ",1.0,5.0,9,family
Beatbarrow,@BeatBarrow,Jun 3,"Good morning twitter #family ,Android users you can now download the beatbarrow app on playstore, download and help us test and improve the app,all feedback is welcome and appreciated

we grow together

https://play.google.com/store/apps/details?id=com.beatbarrow.music…",9.0,52.0,54,family
P R O S O C I A L,@JKDubai1,17h,"A brand new mom . . . . 

#familytime 
#IceCube",3.0,6.0,10,family
That cat from The Vernon who LOVES DLS & HEV-D,@HEVnamedMeGRAP,6h,Sorry about the earlier link not working....this is what I was trying to share! #RnGMusic #4SquareMiles #FamilyTime,10.0,29.0,66,family
WC East Baseball,@WCEVikingBase,Jun 3,"Chesmont National Second Team:

#5 Brady Laird

#FamilyTime",1.0,4.0,35,family
NateBige,@NateBige,Jun 3,"Day 53 until 
@Aaron7Chiles
 commits to helping lead our D to being one of the best in the nation! 

#family | #GoBlue | #Born2Play4Michigan | BF",2.0,7.0,61,family
Andrew Montzingo,@mrmontzingo,Jun 3,That’s what I get for sleeping in! #dad #family #short,1.0,1.0,6,family
Southeast Baseball,@LSEBaseball,Jun 4,Congratulations to Max Buettenback being named Super State.  Max will now be on the wall 3x at LSE #Family,2.0,6.0,47,family
BitmonkCrypto,@BitmonkCrypto,Jun 4,"Sunny Sunday morning in beautiful Giethoorn 

Always take some time off your #CryptoLife 
Enjoy the nature

#sundayvibes #sunny #WorkLifeBalance  #outdoorfun  #familytime",14.0,106.0,131,family
SJCA Football,@SJCA_FB,Jun 5,"This is what it is all about! Scholar-Athletes! Multiple College scholarships! Leaders! Winners! Over 30 wins as a Class. 2 Conference Championships! 2 Quarterfinals! All State Awards! Great young men. Thank you, Seniors! #FAMILY",,4.0,9,family
Team Louisiana/5 Star Gulf South,@team_louisiana,15h,Remember the name! 2025 MIF Mason Canter of Central Lafourche can play! He will be an absolute steal for someone soon #FAMILY,,8.0,26,family
Josephine V Thomas,@jobutlerthomas,Jun 4,"#flowerphotography   Peonies  showing  off  today. ( 4/6 /23) 
And the  love it    #familytime   #garden",1.0,3.0,25,family
Julie Martin,@JTroshupa,Jun 3,Having a great evening in the garden. Karaoke all the way. #Goodtimes #singing #FamilyFirst,9.0,1.0,94,family
NateBige,@NateBige,Jun 3,"Day 12 of Tweeting Until 
@TheDCMayo
 commits to being the next great DE in one of the best defenses in college ! 

#GoBlue | #Family | #Born2Play4Michigan | BF",1.0,5.0,24,family
dennis mcduffy,@McduffyDennis,Jun 3,What a trip #FAMILYFIRST,,9.0,27,family
《CHIARA》,@chiara_lez,Jun 4,"Follow my friends
@italianostyle2
@MarEthr
@Zeno_Mello
@Me_1b
@Oce_2520
@chiara_lez
@Spirited_1o
@PriSilSt
@TCTrigilloFahad
@ElBlondyRD
@LULALI__
@juliecameron35
@Sprecher58
@majo1842
@2G1___
@KATHY_W2
Share the Stallion Love
& Gain with
 #TEAMSTALLION  #family !",,7.0,19,family
WC East Baseball,@WCEVikingBase,Jun 3,"Chesmont National First Team:

#22 Nick Rostock

#FamilyTime",1.0,5.0,35,family
~AK~,@Angel_KagomeX,Jun 4,"Afternoon Tea

After work, #inuyasha enjoys a relaxing afternoon with his #family. 

#moroha #inukag #kagome #犬夜叉 #犬かご #かごめ #yashahime #fanart #yashahimeprincesshalfdemon #inuyashalove #inuyashaseq #anime #rumikotakahashi",4.0,99.0,440,family
"Ron Davis, Jr.",@RonDavisJr4,Jun 4,"@NWBearcat_FB
 
@KadenDavis23
 & Brody Buck
#OABAAB
#Family",1.0,4.0,22,family
Lady Texan Basketball,@ladytexanbball,14h,"Love seeing our Lady Texans mixed in with this great group of people ready to work and get better! 
@Coach_CadeM
 is the best! Glad he’s going to be pouring into our girls again this summer! We love you Coach Cade! #FamilyFirst",,2.0,9,family
SHILPA SHETTY KUNDRA,@TheShilpaShetty,Jun 4,"Babies’ day out that knocked us out 

 Alton Towers 
@TheRajKundra
 

#LondonDiaries #vacay #familytime #grateful #blessed",26.0,22.0,555,family
James Boo Brewer,@coachboobrewer,Jun 4,"TeamPayne4Life 
TeamUL4Life 
#FAMILY",2.0,9.0,213,family
ALL WISCONSIN,@ALL_WISCONSIN,Jun 3,"Crossroads Elite Invitational camp for 
@EthanJoling
 and 
@AJensen320
 . #year2 #family #culture",,6.0,20,family
Beki,@nurse_betty,8h,Family photos are few and far between with these two nowadays …. #makingmemories #familytime #whendidtheygetsobig,1.0,,8,family
Tiffany,@tjb123_tiffany,13h,Another Great Lake weekend in the books!! #LakeLife #Family  Now it’s back to the grind!! ,11.0,3.0,42,family
Louzival 2011 Founder Family #TeamlouziGroup,@louzival2011,5h,"FOLLOW TOP FRIEND 
Thank dear friend Soraya 
@Soraya123455
 
I FOLLOWBACK 


#TEAMSTALLION #family  
I FOLLOW AND REFER YOU ",,6.0,7,family
《CHIARA》,@chiara_lez,Jun 4,"Follow my friends
@italianostyle2
@Aroly_YO
@MarEthr
@ME_1b
@lovecelticwoman
@itijv
@Spirited_1o
@JennyDazze
@OdriSeva
@chiara_lez
@SmileMom_
@oh_laa_laa
@MagDivina
@ElBlondyRD
@khalidaajzi
@88YCKS
Share the Stallion Love 
& Gain with
 #TEAMSTALLION  #family !!!",25.0,32.0,59,family
Louzival 2011 Founder Family #TeamlouziGroup,@louzival2011,6h,"FOLLOW TOP FRIEND 
Thank dear friend Regina 
@FlorMeninnaa
⚘
I FOLLOWBACK 


#TEAMSTALLION #family  
I FOLLOW AND REFER YOU ",2.0,3.0,6,family
Tyler George 25’ SLOT WR/DB,@George_Tyler10,Jun 4,Ended Sophomore year with a 4.18 GPA!! #Family #StudentAthlete,5.0,2.0,43,family
Bravehearts U15s,@BraveladiesJNRS,Jun 3,"Preparing for our first football competition 
@wafaleague13
Wish us luck 

#Family
#Bravegirls",4.0,7.0,40,family
Irys Kline,@KlineIrys,Jun 4,"Thank you to  My 
@717Hoopdreams
 teammates 
@lydia_powers12
  @LauralyeKennedy
 and 
@elainaf23
 for coming out and catching a softball game! Love the support #family",,4.0,10,family
Gabriel Constans,@GabrielConstans,13h," A BRAVE YEAR: 52 Weeks Being #Mindful 
#health #meditate #body #mind #love #family
by 
@GabrielConstans
 @JC_STUDIO_Press
Navyo, ""For anyone, whatever age or experience.""

Amazon US: https://tinyurl.com/5n7pxy2y
Amazon UK: https://tinyurl.com/yunzvph5
Amazon CA: https://tinyurl.com/2vfepn33",,47.0,30,family
Balboa School Basketball,@Balboa_MBB,10h,"Would like to Welcome 2024 6’8 F Eesher Sarai 
@EesherSarai
 to the program!!! He’s gonna bring toughness and versatility to the squad..it’s only the beginning!! #Bengals #Family #Together",,8.0,33,family
Silverback,@ShibHades,Jun 4,"This month “black” NFT holders will be rewarded a SHIB Metaverse land.  “Orange” NFT holders are put in a lottery to receive one as well.

#SHIBPREME is giving holders rewards like no other.

It’s like Christmas in June.

http://linktr.ee/shibpreme

#nft #reward #june #family",4.0,16.0,33,family
YuZapata,@YuZapata3SC,Jun 4,"My biggest fan: Alita :)
#Sunday #Graffiti #Niece #Family",,4.0,21,family
𝓚𝓲𝓽𝓽𝓚𝓪𝓽𝙍𝙇𝙉𝟐𝟒𝟕,@jkittkat,7h,"Bowen and Brittany are married and we are thrilled!#WeddingDay
#BeautifulBride
#HandsomeGroom
#HeronPointeAtTheWharf 
#CoastalVows
#TheyAreFinallyMarried
#MemoriesBeingMade
#FamilyFirst
#TrulyBlessed
#JustMarried",7.0,,16,family
SPXFootball,@StPiusXFootball,Jun 5,"Thank you, SPX athletic boosters and Southwest/Southland Dairy Farmers!!!
The refrigerator is loaded and ready to go for the first day of SAC camp tomorrow!
#FAMILY",,2.0,9,family
NateBige,@NateBige,Jun 4,"Day 44 of tweeting until 
@JBeasley_2024
 commits to leading our front 7 to shutting down that run game 
@UMichFootball
 ! IT’S TIME

#Family | #GoBlue | #Born2Play4Michigan | BF",2.0,3.0,43,family
Verminous Scot,@etkwebster,Jun 4,"Sitting here out on the patio waiting for daughter's to arrive for our ritual Sunday brunch got sausages, bacon and tattie scones cooked so just eggs, toast and coffee to go on when they arrive but in the meantime I'm just enjoying the sunshine and the birdsong.
#familytime",5.0,4.0,35,family
"Sandra Moran, EdD",@Bilingual118,Jun 5,"The D118 BPAC end of the year family field trip on Saturday was a blast! Lincoln Park Zoo did not disappoint ⁦
@WaucondaCUSD118
⁩ #BAC de Wauconda #bilingual #family Engagement ⁦
@TonySandersSupt
⁩",,2.0,14,family
Watauga Men's Basketball,@WataugaMBB,Jun 3,Congrats to our seniors and the entire class of 2023! Very proud of you! #family,,5.0,43,family
FLORA SAINI,@Flora_Saini,Jun 4,"Tu Mera ittar ve 
This song has a vibe and I'm looped 
.
#love #sky #blessed #india #lifestyle #friends #sun #family #trendingreels #reels #fun #style #weekend #youtube #viral #summer #fitnessmotivation #sunday #fashion #photo #funny #ootd #me #trending #instagram #tiktok…",3.0,5.0,160,family
SHERA Research Group: Health Law Rights Support,@SheraFamily,Jun 4,"GAL Jennifer Williams faces wrongful death lawsuit brought by Cynthia (Haynes) Randolph on behalf of her daughter Mikaela Haynes, a 13-year-old embroiled in #family court who took her own life rather than go back to the father who sexually abused her.",2.0,41.0,63,family
NateBige,@NateBige,Jun 3,"Day 75 of posting until 
@taylortatum06
 commits to the only school that makes sense for an RB to run behind the soon to be 3peat 
@JoeMooreAward
 winning OL!  Be that 1-2 punch with Marshall! Make it official!  IT IS TIME! 

#Family | #GoBlue | #Born2Play4Michigan | BF",4.0,6.0,67,family
Bee WavyFlowerCo,@wavyflowerco,Jun 4,"It has been a fun birthday weekend! Getting wavy with the #family in #florida 

Keep it Terpelicious 

#CannabisCommunity",4.0,1.0,20,family
W A Edwards #Indieauthor,@AuthorWa,Jun 4,"Things I do while listening to audiobooks.

Clean
Garden
Drive
Walk
Crochet

My 10yo wanted me to crochet her a bag so while listening to an audiobook I made this. She designed it I was tasked with making it. 

#crochetfun #familytime #audiobooks",7.0,4.0,25,family
Kyle Samson,@CoachKyleSamson,Jun 4,"Great to be watching the Bob Cleverly 8 Man All Star Game tonight here in Butte on Bob Green Field!  Great game representing some great Montana Communities!
#Family
#CountOnMe",1.0,7.0,38,family
Silverback,@ShibHades,14h,"First Day of NEVER working again thanks to #SHIBPREME.

You owe it to yourself, and your loved ones, to at least research what this project has to offer you in passive income.

It can be life changing.

http://shibpreme.com
http://linktr.ee/shibpreme

#family #life #live #love",3.0,5.0,20,family
East Coast Long Snapping,@EastCoastLS,Jun 3,"Saturday morning session  

#EastCoastLongSnapping #ECLS #LongSnapping #Family",,3.0,9,family
Solid-AU.eth,@bgold55,Jun 4,"Do I need to say more?
#family #drunkRobots 
@thedrunkrobots",,7.0,18,family
WestCentral Wildcats,@WCWildcatsbball,Jun 5,16u wildcats went 2-2 on the weekend at the prep hoops state tournament. Moving their record to 12-8 on the season. Excited to watch them finish their season strong! #Family,,1.0,17,family
AMRAPALI VILLAGE APARTMENT #AVIANS!,@VillageAmrapali,Jun 3,"#lifeissimple 

You make your life hard by always being in your head. #life is #simple, get out of your head and #get #into #the #moment. 

#Avians #family 

#piccredit 
@lalits5
#gratitude :-  
@Deepak_Kumar018
 @AmitSha61153857
 @Mishra85Prince
 @lipimanob
 @Gopeshwar_GZB",,8.0,10,family
HNS,@HNS_CFF,22h,"Petar Musa joins the national team for the upcoming #NationsLeague Finals as the champion of Portugal with 
@SLBenfica
, while Luka Sučić - who is recovering from injury - won the domestic title with 
@RedBullSalzburg
! Congrats! 

#Family #Vatreni",2.0,8.0,160,family
Ryan Spoon,@SpoonForIdaho,12h,"An institution given to us by God and worthy of #PRIDE.
 #Family",1.0,,9,family
Brooke Stoehr,@BrookeStoehr,Jun 3,"Happy Birthday to the BEST! Love you, Coach!#Family",,2.0,41,family
Weymouth HS Boys Basketball,@HoopWhs,18h,Great player and kid. Some college program will be getting a winner #FAMILY,,1.0,5,family
Team Louisiana/5 Star Gulf South,@team_louisiana,Jun 5,And then there were 4! 16u Canter advances to the Semis of the WWBA South Invitational with a 3-2 win. Another great team effort! #FAMILY,,10.0,13,family
BC High Baseball,@BCHighBaseball,18h,"Round 1.

 Barnstable
 Monan Park
 4 PM
 64º
https://youtube.com/live/JTBzFB3hgbM?feature=share…

#Family",1.0,1.0,11,family
Fairgreen Sod Farms,@FairgreenSod,Jun 4,"Sunday mornings are for family time, even when there is work to be done.  Many hands make light work and we have some fun while doing it.
*
*
*
*
#ThinkGreenCallFairgreen #irrigation #familytime #sodfarming",,2.0,10,family
Solid-AU.eth,@bgold55,Jun 4,"We are #Family!!!  Even more than a community, one of the best out there, why, because we communicate, listen and share knowledge ""Alpha"".  I'm not saying we are better than anyone else's, but here is like HOME, and home is where Family is!",5.0,11.0,20,family
Linda J. Crane,@EarthKeeper22,18h,"#MOTHEREARTH
From you & to you all #life flows
Nourishing us with all that you are
#Human, #Animal & #Plant, we're all #family

#Respect & Protect our Mum & all our relations
For when she & they thrive, so shall weLJC 

#WorldEnvironmentDay #conservation #EarthKeepersUnite",2.0,2.0,18,family
St. Thomas Football,@UST_Football,12h,"Congrats 
@LukeGlenna
 @CoachBingaman
 for their week 1 wins in 
@ELF_Official
 #Tommie4Life
@Dragons_BCN
 W 
@pantherswroclaw
 W 

#Basic | #Family | #Leg24y   ",,4.0,39,family
Christy D,@ChristyMomaha,Jun 4,"Hey #OPNation sorry 
#ShawnPatrolLive and myself can't be with you tonight. My daughter & granddaughters just arrived today for a week visit. We'll see you all Friday for #OPLive
Stay Safe, Stay well

#FamilyFirst
@ReelzChannel
 
@OfficialOPLive",43.0,11.0,212,family
Rex the TV Terrier ®,@rexthetvterrier,10h,"I had such a a great visit with my sister Kelly and my brother in law Jason this weekend.  I loved seeing them 
#DogsofTwitter #Family #Love",61.0,34.0,835,family
Haukku,@Haukku2022,Jun 4,"Found this old pic of big brother. He seems to be bored.

Obviously this was before little me came to live with him.

#dogs #dogsoftwitter #family #Siblings #SummerVibes #bored #garden",4.0,1.0,43,family
North Hunterdon Lions Baseball,@NHLionsBaseball,Jun 3,"Between the workouts, the practices, the games, the locker room; we should absolutely cherish all of the hours we spent together. What a ride with a great group of kids!!! I love this baseball team!!!! #family  #hallways  #glorydays  #northbaseballisback",4.0,10.0,61,family
Zee Music Company,@ZeeMusicCompany,Jun 4,"Only a middle child will understand this pain

#MiddleChild #Family #Siblings #Parents #SeetiMaar #SalmanKhan #DishaPatani #Radhe",,11.0,37,family
Oregon Tech Baseball,@oit_baseball,6h,"Your Owls wrapped up our year with our annual team barbecue! Can’t say enough about this group and how well they created a culture that took this program to another level. Thank you to our seniors for the impact you have left on this program as well!

#OwlsWin #Family #WEI",,4.0,13,family
